Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1991-10-01,2.72057748986549,2.7614260200232,-0.0408485301577101,-2.96572918223944,,,,,,,,,,,,1991-10-01,1.73105037804439,1.05857853905772,0.403695078848059,,-1.04736956180952
1992-01-01,2.78171617245089,2.81551643310117,-0.0338002606502815,-2.69807717281014,,,,,,,,,,,,1992-01-01,1.73140922651937,1.05976810088575,0.403786171630919,,-1.83001097163121
1992-04-01,2.75423432166515,2.80589493915124,-0.0516606174860891,-2.3124570270478,,,,,,,,,,,,1992-04-01,1.73594777701321,1.06097825142908,0.403952231633557,,-2.00357117839328
1992-07-01,2.65583142155721,2.77317705211641,-0.117345630559195,-2.00210440101819,,,,,,,,,,,,1992-07-01,1.74338939664828,1.06218661678727,0.404077434643329,,-2.14137726108672
1992-10-01,2.68073975816438,2.73862625443454,-0.0578864962701628,-1.39338735471165,,,,,,,,,,,,1992-10-01,1.74868142476712,1.06337989571988,0.404048203079502,,-2.34161384642234
1993-01-01,2.47473280583225,2.55430328109668,-0.0795704752644327,-1.11609868767573,,,,,,,,,,,,1993-01-01,1.78750903789614,1.06457937731755,0.403782924920085,,-2.05581460228472
1993-04-01,2.4504364415818,2.4868387212969,-0.0364022797151021,-0.790499270163309,,,,,,,,,,,,1993-04-01,1.81411188155312,1.06575702000367,0.403089022290484,,-2.12594349334771
1993-07-01,2.28984078719393,2.41793180951002,-0.128091022316088,-0.790412641467356,,,,,,,,,,,,1993-07-01,1.84154420040215,1.06697089706219,0.402192835243717,,-1.86923074723184
1993-10-01,2.34814549951771,2.51438993045471,-0.166244430936997,-0.549746580516853,,,,,,,,,,,,1993-10-01,1.81733076779065,1.06822506046561,0.401250864110783,,-1.78334975687492
1994-01-01,2.28375369306793,2.50771085482516,-0.223957161757233,-0.286865580312679,,,,,,,,,,,,1994-01-01,1.80700589716881,1.06954588446892,0.4004773283455,,-1.25476932588714
1994-04-01,2.43966784855182,2.56849932581615,-0.12883147726433,0.328920049198928,,,,,,,,,,,,1994-04-01,1.77679863747176,1.07090236396257,0.399829461351396,,-0.557401024259145
1994-07-01,2.33497339840096,2.50375747360529,-0.168784075204322,0.49058196161468,,,,,,,,,,,,1994-07-01,1.77773728336643,1.07230656040168,0.399330953243971,,0.121596309872996
